Sw	Meaning	Sys Cod	PIE ref. (*omitted)	Source	Assessmt.	Rus	Lit	oIs	Bkm	oIr	rIr	Itn	Lat	Alb	aGr	rGr	Arm	Hit	ToB	Ave	San	Hnd
41	nose	613	(s)keu̯-	Holm <P951	Orphan									hūndë								
41	nose	614	ser-1	P909-10	Orphan										ῥίς  [L?]							
41	nose	615	mu-t- (cf Lit mùtė ‚Maul‘ ?)	(P751)	Orphan											μύτη						
41	nose	616	L <Khinalug кӏыт-ы́р ?	ewy w ref; Mrt.-	Loan <>Cau.												[ k’itʽ ]					
41	nose	617	L < ? “obscure”	Kas61-; Klo-	Loan ?													[ titita ] L				
41	nose	618	mel- ‘Erhöhung’ (against Adams: “unlikely”)	(P721)	Orphan														meli			
8	not (‘comparable’)	620	ne-1 ( ku̯o)	P756-1 etc.	#NAME?	не	nè, ni	ne		ní, na[ch]	ní	non	nōn,nĕ-	nūk	(νε-)		-	na-tta	(a(n/m)-)	na(ēda)	ná	nahī̃
8	not	621	eitt- (‘one’{neuter})+ki (neg suffix); L < Dan	Kus (P284-6)	Orphan				[ikke]													
8	not	622	*ne) h₂oyu kʷid, 'not what ever'	ewy w refs; Mrt	debated										οὐ(κ)		(vo)č-					
8	not	623	οὐ-δέν	(P1164)	Orphan											δεν						
8	not	624	mē-1	P703	Orphan									(mos)		(μη(ν)	(mi)		AB mā-	(mā-)	(mā-)	
11	one (numeral)	630	oi-nos- < h₃éy-nos [?] ‘single’	P284-6	#NAME?	один	víena-	einn	en	ōen	(a h)aon	uno	oinos		(οἶνη)			[ai-ka = L < Mit]		aēva	éka	ek
11	one	631	sem-2 < s(ḗ)mih₂- (rather ‘unified’)	P902	-meaning, -distr					-	-		(semper)	një	εἷς	ένα(ς)	mi, mēk	(ēs?)	sasA, seB			
11	one	632	so, si	Goe; Shields														šiya	“?”			
85	path, road, (not street) [amb]	640	pn̥t-h₂- ‘path, bridge’	P808	#NAME?	(ппть)							(pons)							pantā̊	pánthā	
85	path	641	i-tā-r < h₁ey- ‘go, way’	P294f; etc.	>PCel bow-itro						bóthar		(iter)?					itar	ytār {f}			
85	path	642	weg̑h- ‘to draw, drive’	P1119		-	-	vegr	vei					ūdhë								
85	path	643	dheragh- ‘to draw along’	P257	Orphan	доро-га																
85	path	644	kel-5-eu ‘path’	P548->554	Orphan		kẽlias															
85	path	645	sent-u	Lu: P908	Orphan					sét												
85	path	646	weyh₁/wī-3 ‘Weg, Reihe’	deVaan:P1123-4	Orphan							via	via									
85	path	647	sed- ‘gehen’	p884-7 B	Orphan										ὁδός							
85	path	648	der-/drem- ‘Lauf’	P204	Orphan											δρόμος						
85	path	649	L < Ira *čarana-parθ <*per+tus	Mrt. no ety	Loan composition												[čanaparh]			(parθ-)		
85	path	649a	ser-1’strömen, verfolgen’ >saraka (San) ‘line of road’	(P909) ewy	Orphan																	saṛak
85	path	649b	not applicable	irrelevant	Orphan													(pal-sa-)				
18	person (human individual; cf man	650	manus-	P700	#NAME?	(muž ‘man’)		maðr	menns-ke											mašya	mánu-s	(manushya)
18	person	651	dhĝhém-on- (West)	P414-5	‘earthen’		žmōgù-s	(gumi)		duine	duine	uomo	homō							(tēkan)		
18	person	652	s)kwel- ‘crowd, people’+weyk (?)	Der:P640, P38-3	Orphan	чело-век															(kulam)	
18	person	653	a)ner- <h2ner-1 ‘Mann’	P765 (L267)	meaning change against ‘MAN’									njeríu			anj					
18	person	654	andher- ‘stopplig’ +ops ‘Gesicht’	P41	‘man’  person										ἄνθρωπος	άνθρωπος						
18	person	655	h₁n-dhuéh₂-; & s	P640, P38-3	Orphan													antuwaḫḫas				
18	person	656	gwyeh₃- ‘leben’ +mo	Adams: (L215;P467-9)	Orphan														B śaumo			
18	person	657	vyakt (San), no ety	na	Orphan																	vyakti
18	person	658	mer(H)- ‘t die’	P735	only E										(μορτός?)		mard	-		(maša)	(márta)	
18	person	659	Not applicable	na	(semantics)															(fravaši-)		
76	rain n	660	a)wer(s)-9c4 < h₂(e)wér-; ~next s-mob? >	P80-1-9c4	#NAME?			(ūr )?						(vrëndë)						vāra	varṣá	bāriś
76	rain	661	seu-<sew(H)-	L545,P912	only E		(oPr: suge,sūjē)							shī	(ὑετός ‘shower’)				sweseB			
76	rain	662	dus- ‘bad’	P227	Orphan	дождь																
76	rain	663	lei- ‘gießen, fließen, tröpfeln’	P664 f	Orphan		lietù-s															
76	rain	664	(H)reĝ- ? >PGmc regna-	P857,?498	Branch orphan			regn	regn													
76	rain	665	bher-2 ?	P132	Orphan					bráen												
76	rain	666	a)u r- ‘water, rain,’; or feraid (Oiri) ‘grant, supply’	(Lu? P80f)	< mIr ferthain ‘give,pouring’						(N) fear-thainn											
76	rain	667	plew- ‘waschen’	P835-7	Branch orphan							pioggia	pluvia									
76	rain	668	meregh	P738	Branch orphan										βροχή	βροχή						
76	rain	669	L < ?	ewy: unknown; Mrt-	Loan?												[anjrew]					
76	rain	669	h2eih₃-(e)u-	Klo340;Kas65 “looks archaic”	Vart. of awer?													ḫē(y)u-				
87	red	670	reudh- < (h₁)rewdh-ró- ‘red’	P872	Lu +W+E		raũd(on)as	rauðr	[rød]	(rūad)		rosso	ruber		ἐρυθρός				ratreB	raoiđita	rudhirá	lal (?)
87	red	671	krās <kreh₂s-3-s- ‘Glut’	P572	Orphan	красный																
87	red	672	dher-g(h)-o ‘murky, dirty’	Lu: P251	Branch orphan					derg	dearg											
87	red	673	L <Vlat. coccu(m)	Holm Alb	Loan									[kuq]								
87	red	674	L <?>Vlat. coccu(m)	ewy	Loan											[κόκκινος]						
87	red	675	L <Per.* karmīr	ewy	Loan												[karmir]					
87	red	676	L < ? ‘red wool’ (!)	Klo583; Kas	Loan													[mit-]?				
26	root	680	w(e)rād- < wh₁reh₂d- ‘Zweig, Rute, Wurzel’	P1167	Lu +W+E	-	-	rót	rot	frēn	fréamh	radice	rādīx	rrënjë	ῥίζα	ρίζα	-	(su?)	?witsakoB	varšak		
26	root	681	k(ʷ)or(H)-5-en- ? or L<?	(P573)	uncertain	корень																
26	root	682	ƙak-2- branch, peg’	P523	Orphan		šaknì-s															
26	root	683	or/er-3 ‘t rise’	P326-3	Orphan												arm-at					
26	root	684	s-wer- ‘Pfahl’	P1050-3	Orphan													surka,i				
26	root	685	mū-lo ‘Wurzel, Pflanze’	P750	Orphan																mū́la	
26	root	686	ĝen-t ‘Ursprung’? >jaṭā (I-I)	P373 ff																		jaṛ
98	round [amb, out of 22 in WP:]	690	s)ker-3egh- ‘bent, circular’	P935- 3	meaning?	круглый		kringlóttr		cruin(n|d)	cruinn		(curvus)		(κίρκος)					P skarəna		
98	round ?	691	gel-1 ‘t cling > round object’; gHū-l	P357f-1 P396-d	(Lu~)					-	-		(globus)				klor				(gula)	gol
98	round	692	wel-7 ‘to turn’	P1143(40)	Orphan		Kr: apvalùs															
98	round	693	L <Fre<Spa>Arb arobt?	Klu/Seeb	Branch orphans				[rund] L			rotondo	rotundus									
98	round	694	L <Gre  ῥύμβος ‘Kreisel/top, gyro’	Holm	Orphan									[rrumbull]L								
98	round	695	strengʰ- ‘straff, beengt > drop’	P1037 (L604)	Branch orphans										στρογγυλός	στρογγυλός						
98	round	696	Gap	Klo-;Kas-														G				
98	round	697	Gap	Klo-;Kas-						-	-								G			
98	round	698	ŭer- ‘t turn’)	P1156f	Orphan																vartula	
98	round	699	Not applicable	irrelevant	(semantics)					-	-		(vorsus)									
98	round	699	Not applicable	irrelevant	(semantics)					-	-						(Ri bolorak?)					
78	sand (as opp. to earth)	700	bhes-1 crush(ed)’; ~ iconic w followg	P145-1	E; Itc debated							sabbia	(sabulum ‘grober S’)		ψάμμος	άμμος	av-az					
78	sand ?	701	pēs-2 ‘sand’	P824 2	??	песок														pąsnu-(Mh)	(pām̐sú)	
78	sand	702	er-4,5 <h1er- ?	P326f P332-4,5	cf earth!							(rena)	(h)arēna	rërë [L?]					(below?)			ret
78	sand	703	mel-1 ‘to grind’	P717	W?		smė̃lis		(cf got malma)													
78	sand	704	?samh̥xdhos	M/A	[L<Uralic?]			sandr	sand			(= sabbia ?)										
78	sand	705	L <unknown source	Lucht; ewy-	Branch orphans					[gainem]	[gaineamh]											
78	sand	706	Gap	no source														G				
78	sand	707	speculative	(Adams)	orphan														B warañce		(vāluka-)	
78	sand	708	ƙik-2 ‘fein(er Regen)’; cf ƙiƙer- ‘pea’	Lub (P598) ?	orphan																síkatā	
71	say [undecidable!]	710	sekw-2 ‘say’ (cf next)	L526 2,P897	Lu! +W+E		(pa)sakýti	segja	si				(-sequ)		(ἐνέπω)							
71	say	711	wekw- ‘say’	L673,P1135	(only E)								(voco)		(εἶπον)				B we	vak	vákti	
71	say	712	kwe(H)ƙ- ‘to show’	P638-9	orphan	сказать																
71	say	713	bher- >plab-	P128,831	only kel					as-beir	abair											
71	say	714	deyƙ- ‘sagen’	L108,P188-9	Branch orphans	(говорить)						dire <	dīcō									
71	say	715	k̑eHs- ‘anweisen/to advice’	Holm (L318)	Orphan	(говорить)								them								
71	say	716	bheh₂-2 ‘t speak’;	L69,P105-2	-Lu								(fārī)		φημί						(bhana-)	
71	say	717	aĝ-2 <h₂eĝ- +w above?	L256,P290	(Lu~)								(ai(i)ō)			λέ(γ)ω			(aks-)?			
71	say	718	mlewh₂- ‘speak’;	L446,P---													ase-/ml		(palwam)	mrao-mi,mrû-	bravī-	
71	say	719a	ter- ‘sprechen’	L630,P1088-9	Orphan	(tor-tor-)	(tar)											tē(r)	(St: träṅk-A)			
71	say	719b	unknown	ewy	Orphan																	kahnā
71	say	719c	werh₁- ‘reden’	irrelevant	(‘talk’)	(говорить)									(ἐρέω)							
71	say	719d	memʰ- reduplication?	(P725);(Kas71)	‘tadeln->say?’										(μέμφομαιι)			NH (mema)				
57	see (to look) [cf to know]	720	w(e)yd-2 ‘t catch sight, t know’	L665,P1125-2	#NAME?	виде(ть)	(oLi: véizdmi)					vedere	video		(εἶδον)			(au-s)				
57	see	721	sekw- ‘t see, spot’	L525,P897;Kas diff.	#NAME?			sjá	se					shoh				saku-wāye,a-				
57	see	722	derƙ- ‘t look at’	L122,P213	#NAME?					{ad-condairc}	--				(δέδορκεν, δέρκομαι)		tes-nel			darəsəm	(darś-)	
57	see	723	med- ‘(er)messen’	P705	Orphan	(smotri)	(pa)matyti															
57	see	724	ĝwerH- ‘to be hot, shine’	P479	Orphan		žiũrě́ti															
57	see	725	kwei- ‘wahrnehmen’	L377, P636	Branch orphans					ad-chi	#NAME?											
57	see	726	L < ?	ewy-; frwy-;P-	Branch orphans										[βλέπω]	[βλέπω]						
57	see	727	leuk- blaze ??	P687;Blažek	Orphan			(līta?)											AB l(y)äk			
57	see	729b	speƙ/ĝ- ‘t watch’ ~ ?peHs- ?	L575,P984 (L459?)	#NAME?								(speciō)	(pashë)	(σκέπτομαι)	-				(spas, pišiiei-?)	paś-yati	
57	see	729c	kʷeƙ ‘sehen, erblicken’	L383,P638-9	Orphan																	dekhnā
57	see	728	not applicable	irrelevant	(meaning)			(līta?)												UT,Ri vaēna-		
57	see	729a	kʷeƙ ‘sehen, erblicken’	L383,P638-9	(meaning)															caš	cáṣṭe ‘blickt‘	
24	seed n[not universal]	730	séh₁-(men)	L517,P889	only W	семя	sėklà					seme	sēmen						AB sārm			
24	seed	731	se-(g)-lo-1	P887						síl	síol		(seges)									
24	seed	733	prews- ‘spritzen’? sper-/spor	(L493?)L580	questionably			frjó	#ERROR!													
24	seed	734	sper- t scatter’; or L < Lat far(īna) ‘flour, spelt’?	Holm (L580?)	undecided									[farë]								
24	seed	733	prews- ‘spritzen’? sper-/spor	(L493?) L580	questionably										σπόρος	σπόρος						
24	seed	732	ƙer-2 ‘wachsen (machen), nähren’	P577 (!)	Orphan												serm					
24	seed	734	L <Sum.?	Haa.;Klo980;(Kas-)	Loan?													[warwalan]				
24	seed	735	teuk- ‘Keim, Same, Nachkommenschaft’	P1085	Orphan															taoxma(n)		
24	seed	736	No ety L <Munda? cf Indonesian biji ‘id’	Holm	Orphan																[bī́ja ]	[bīj]
68	sit (vi)	740	sed- ‘sit down’ vt.	L513;P884f; etc.	#NAME?	сиде(ть)	sēdḗti	sitja	sitte	saidid	sui-m	sedere	sedeo		ἕζομαι		nst-im	(šišt)	ṣäm- ?	(hiđaiti )	(sídati)	
68	sit	741	ē̆s- <h₁eh₁s- ‘to sit’ vi	L232;P342; etc	only E								(cf as-nus)		(ἧσται)	κάθομαι		ēs-	āsk	āste	ā́ste	
68	sit	742	h₂er-[+ei] ‘anordnen/to arrange’	Holm (L269)										rri								
68	sit	743	upa-viśáti- >uvaviṭṭha-/~biṭṭha- (?)	(ewy -); (L669): hiencog.blogspot																		[baiṭhnā]
28	skin (human)	750	s)kū̆-ti- ‘cover’; Lub: skeu(H)-ih₂- ‘skin, hide’	P951	#NAME?				hud		(Kym: cwd)	(b cute)	cutis		(σκῦτος ‘skin,leather’)							
28	skin	751	kaĝo ‘goat’	P517	P-Sla	кожа																
28	skinn	752	L < ?	Fr515, fehlt P	Baltic only		[ṓda]															
28	skin	753	s)kend-no- ‘skin’	P929	Orphan,only W			skinn														
28	skin	754	kni-d-to	Lu: P559-61						cnes												
28	skin	755	s)ker-4 ‘cut,tear off’	P9384	Orphan-meaning					(croic-)	craiceann		(corium)					( kurša)?		(čarǝman)	(cárman)	
28	skin	756	pél-(n,t)3B ‘cover, (too often ‘hide’)	P803-3B	-meaning	(plená)	(plėnė ‘Häutchen’)					a pelle	(pellis ‘Fell’)		(πέλας)							
28	skin	757	lë- +kur = L <Lat corium ‘thick skin, leather’	Holm Alb	proposal	-								[lëkúrë]								
28	skin	758	der-4 ‘schinden, zerreißen’	P206;L119	Branhc orphans										δέρμα	δέρμα						
28	skin	759	L <Semitic/PAA masak	ewy; (Mrt450)	Loan												[mašk]					
28	skin	759f	Gap	Klo;Kas	Gap													G				
28	skin	759g	h1ed- ‘t eat’ “possibly”	Adams ?(P287)	only E														yetse			
28	skin	759h	skē̌i- < sƙheh₂(y) ‘cut’; or	L547,P919	Orphan															suri?	(chavī́)	
28	skin	759i	ewS2twékos	P1099	only E																tvac	tvac-
60	sleep (v; [cf lie down]	760	drā-m <dreh1- (Lub h2)	L126,128,P226	#NAME?	(drēmyō)						dormire	dormiō		(δαρθάνω)						drā-	
60	sleep	761	swep- ‘fall asleep’	L612, P1048	-meaning	спать		sofa	sove				(sōpiō)				k’nel	supp-		xvaf-na-	(svapiti)	sonā
60	sleep	762	meigh- ‘to glimmer, twinkle; mist (before the eyes)’	P712	orphan		mieg-ù/ṓti										(yenum?)					
60	sleep	763	telH- >tolH-éi̯e-	Lu,L621,P1060	Branch orphans					con-tuili	#NAME?											
60	s(leep	764	lei̯h2-i̯é ‘schwinden/to fade’	Holm (L406)	orphan									fle								
60	sleep	765	dem- >κατά + εὕ-δωο(ν) ‘at home’(?)	(P198)	orphan										(καθ)εύδω							
60	sleep	765	ƙei-1. ‘liegen’ +mo	P539; ewy no ety.	orphan											κοιμάμαι						
60	sleep	765	klem ‘matt’	P602	orphan													(šeš)	kläntsB	(hahmī ?)		
15	small [amb]	770	pau- ‘gering’ < péh₁w-ro	P842	-distr +meaning								parvus		(παῦρος ‘few’)		pʻokʻr					
15	small	771	mei-5>mi-nu- ‘reduce’	P711-5	#NAME?	(mьníjь)				-	-		(minus)						( maiweB:)			
15	small	772	mēlo ‘small (animal)’	P724	Orphan	маленький																
15	small	772	me/oĝ(h)- ‘extreme size’?	(P708-9)	debated		mãžas															
15	small	772	lei-² ‚abnehmen‘	P661-2	Orphan			lítill	liten													
15	small	772	b(h)eĝh- ‘ohne’? or L < ?;	(P112)	Celtic Loan					[becc]	[beag ]											
15	small	772	“romanico”	Cor1189	Orphan							piccolo										
15	small	772	L <Trk ufaklik ‘tinyness’ <Arb faqīr ‘poor’	Holm Alb.	Loan									[vogël]L								
15	small	772	smeh1(i)-k- ‘klein, winzig’	P966	Orphan										μικρός	μικρός						
15	small	772	kmb-(e)i-(?); n̥mh2ient (?)	Klo439,171; Kas77	Orphans													kappi (amij-ant)				
15	small	772	h3leig/k- ‘dürftig,elend’	Adams; P667	Orphan										(ὀλίγος)				lykaśke			
15	small	772	ƙak- ‘abmagern’	P521	Orphan															OY kasu-		
15	small	772	orbo- ‘Waise > schwach, klein’	P781	Orphan																árbha-s	
15	small	772	kseud- ‘klein’ >kṣudrá-	P625	Orphan																(kṣudra?)	choṭā
81	smoke (n, of fire, not cloud)	780	dhuh₂-mós/bh	P261,MBr	Lu+ W+E	дым	dū́mai			dé	deatach	fumo	fūmus		(τῦφος, θῡμάλ-)			tuḫḫu(wa)i		dūta-(?) (mPr:dīt)	dhūmá	dhuā̃
81	smoke	781	reu-g?	?P871-2	Orphan			reykr	røyk													
81	smoke	782	L <Gre θυμóς	Holm	Orphan									[tym-i]L								
81	smoke	783	kewHp- ‘smoke’ (?)	P596	Branch orphans										καπνός	καπνός						
81	smoke	784	L < ?		Orphan												[çux]					
81	smoke ?	785	Gap																G			
81	smoke ?	785	s)meu-gh	P971; Mrt.	-number					(múch)	(múch)						(mux)					
69	stand (vi)	790	stā/ə- < steh₂-	L590,P1004f	Lu+ W+E	стоять	stōv-ḗti	standa	stå	tair-(ś)issiur	seas	stare	stō		ἕσταμεν	στέκομαι			(K: stäm)	stā,hištai-	stā,tíṣṭha-	
69	stand	791	er(i)-3. <h₁,₃er- ‘come into motion’me into motion’	L238,299,25! P326-9	{fientive}									rri (më këmbë)				ar- <h₃r-to				
69	stand	792	*gʷeh₂-‘come (to stand)’ ??	ewy?, Mrt hesitating	Orphan												kangn-el; (not ka-)					
69	stand	793	kelH ‘aufragen’	L349,P544	Orphan														G: käly			
69	stand	794	kelH- ‘aufragen’, or L < ?	(L349, P544)? P-; ewy-	Orphan																	[khaṛā hona]
74	star	800	ster-2 <h₂stḗr-	P1027-2	#NAME?			stjarna	stjerne			stella	stēlla		ἀστήρ	αστέρι	astɫ	ḫašter	ścirye	stār-	stár	tārā
74	star	801	ghwoigw- ‘shine, star’	P495	Bal-Sla	звезда	žvaigždė															
74	star	802	L < ?	swy, Lu: no ety	Branch orphans					[rind]	(rinn)											
74	star	802	ret- +glu? or L < ?	Lu:no ety; (P366)	Branch orphans					(rétglu)	[réalt(a)]											
74	star	803	h1eus ‘burn, glow’	LIV245										ylli								
77	stone (opp. to sand, earth)	810	aƙ- < h₂eƙ-‘sharp’ +mōn ‘stone’	P19	? +W+E ?	камень	akmuõ								(ἄκμων)			(aku ‘sea-shell’)		asman, asan-	áśman	
77	stone	811	gu̯er- ‘Berg/mountain’	P477-3	E !					(bráu) ‘mill~‘				gūr					kärweñeB		(grāvan-)	
77	stone	812	st(eh2)i- >Gmc staina	P101	Orphan			steinn	[sten]													
77	stone	813	L <Lat clocca	Lucht	Orphan					[cloch]	[cloch]											
77	stone	814	L <Gre or the same substrate		Orphan							[pietra]										
77	stone	815	lep-3 ‘Fels, Stein’ ? or lep-2 ‘abspalten’;	P678	Orphan								lapis									
77	stone	816	L < substrate	(Beekes)	Orphan										[λίθος]							
77	stone	817	L < substrate	P-	Orphan											[πέτρα]						
77	stone	818	kar-3 ‘hard’	P531	Vokal!												k’ar					
77	stone	817	NA4; L < Sum?	HVB1.44b; Haa.: L.	Loan?													peru(na) L	(pāreṃA)			
77	stone	817	NA4;L < ? ‘pebble’	Klo650; Kas.	Loan?													(paššila)				
77	stone	817	L < ?		Orphan																	[patthar]
77	stone	819	lēu- <leh₂u-2 ‘stone’	P683-2	? +meaning					(līe)?	-			(lerë)	(λᾶας)?							
72	sun	820	sā́wel- <séh₂wel-	P881	Lu+ W+E	солнце	sáulē	sól	sol		-	sole	sōl		ἠέλιος	ήλιος			(St below -)	hvar(a)	svàr	sūraj
72	sun	821	g̑her ‘gl’ or gwher-	P441 or 493	Orphan					grían	#NAME?											
72	sun	822	dei̯h2- ‘glänzen/to shine’	Holm (L108)	Orphan									dielli								
72	sun	823	h₂rew-i- 'sun(shine)' ?	Mrt; P873?	(ori. poetic)												arev/g				(ravi)?	
72	sun	824	L<Hattian estan.	Kas82;  HVB1.52 DINGIRUTU-us	L, cf. Hat. estan													[ištanu-] L				
72	sun	825	keh₂w-1 ‘anzünden, verbrennen’	Adams (L345)	Orphan														kauṃ			
63	swim [amb~ float]	830	s)nā-<( s)neh₂- ‘t moisten, bath’	L572, P971	#NAME?					snáïd	snámh	nuotare	nat-	nótoj	νέω				B nāsk	nā	[snā́ti ‘badet’]	
63	swim	831	pleu-(d,k) ‘t float’	L487,P798,835	-meaning?	плыт	plaũkti								(πλέω)						plu, pláv-	
63	swim	832	swem(bʰ)- ‎'to be unsteady, move, swim'	P1046(?);L-; ewy no source	L <N-EurAs?			svima-	[svømme]													
63	swim	833	L < substrate (?)	unknown	Orphan											κολυμπώ						
63	swim	834	log- ‚bath‘ related??	P-; Mrt no entry	Orphan												loġ-al					
63	swim	835	Gap															G	( yärA)			
63	swim	836	ter-5/tr̥- < terh2-‘to cross, to overcome’	L633, P1074-5	Orphan																	tairnā
35	tail (cf arse!)	840	ers-3 ‘buttocks’ + too many forms	P340-3	? meaning?					(err, er-ball)	eireaball				οὐρά	ουρά						
35	tail	841	peuk- <puk(eh₂)- ‘bushy (tail)’	P849 (or 827?)	only E														B pako		púccha	pū̃ch
35	tail	842	gwes-to-s ‘Laubbüschel’	P480	Orphan	хвост																
35	tail	843	od(e)g(w)o	773	Baltic		uodegà															
35	tail	844	kel- ‘tip’	P552 3	Orphan			hali	hale													
35	tail	845	keh₂u- ‘hauen, schlagen’	(P535) ?	Branch orphans							coda	cauda									
35	tail	846	bhei̯H- > bhi(H)-st-o- ‘schlagen/to beat’	Holm (L72)	Verbal noun									bishti								
35	tail	847	*p > Arm h/0; (unconvincing etys)	Nowhere convincing	late loan <Mitanni?)												[poč] L?					
35	tail	848	Gap															G				
35	tail	849	dum(bʰ)-a	P227 = Turner 6419	Orphan															duma		
5	that [amb, often undecidable]	850	a)u- <h₂eu- ‘that s’	P73-4	only E?									a-i/jó/tá	(αὖτις)					hau,ava-	adás,amú	vah
5	that [cf “all”!]	851	a/ol-(jos)- <h₂el-‘beyond, s’	P24,25	(Lu) -meang								ille (alius)	-	(ἄλλος)							
5	that	852	só, séh₂, tód	P978-9	Branch orphans	то(т)	tas															
5	that	853	kHi-r/n?	P609	Orphan			hinn														
5	that	853	L <Dan þann{akk} < sá	P1086f	orphan				[den, det] L								(noyn)					
5	that	854	sem- ‘eins’?	Lu: ?P604	Branch orphans					sin	#NAME?											
5	that	855	ecce illum? (Vlat)	uncertain	Orphan							quello										
5	that	856	h₁enos 'that' >(ἐ-{augment} + ƙe- >κε{deictic} ‘here’ +nos)	P609(?)	Branch orphans										ἐκεῖνος	εκείνο						
5	that	858	e(i)-3	P285(1)	Orphan												ay-n					
5	that	857	h₂-b- ? (unclear)	Klo191;Kas85	cf. Alb, Arm!													ap/bā-				
5	that	858	so-u- > sä-m ?	Adams	Orphan														sam(p)			
4	this [amb]	860	ƙH(i)e-s ‘this (here)’; dV: g/ĝhe/o-ke >Lat.	P609; Kas86; dV	#NAME?		šì-s						hic		(κε)			k-ā/ū/i-				
4	this	861	so-,sā-,syo-	P978	(Lu)?	это(т)		sá,sú,sjá		so,sa,se	seo				ὅδε (ὁ,ἡ), οὗτος	αυτ-ός	(sa)		se	ha(u)	sá(u)	
4	this	862	L < Dan	cf ‘that’	Orphan				[denne, dette] L													
4	this	863	ecce istum ?	uncertain	Orphan							questo										
4	this	864	ku̯o- +pers. ending	P644	cf. Hit.!									k-y/jo/ëtá				(k-??)				
4	this	865	e(i)-3	P285(1) ! contrad P609	Orphan												ay-s					
4	this	866	yá(s)- ‘quae’ > San yá	P283	Orphan																	yah
44	tongue (anat)	870	dn̥ĝhwā- < dn̥ĝhw(e)h₂	P223	#NAME?	язык	liežùvis	tunga	tunge	tengae	teanga	lingua	(d)lingua	gjuhë			lezu		kantwo	hizū	jihvā́	jībh
44	tongue	871	gloh3gʰ- ‘Spitze, Zunge’	P402											γλῶττα	γλώσσα						
44	tongue		1.L< Akkad? Redupl.? 2.or onomapoetic?	Klo515; Kas.88.	cf. Akk. lišānu													lāla				
43	tooth (front? undecidable)	880	e)dont/dn̥t- < h₁,₃(é)d-ont- ?	P289	Lu+ W+E		dantìs	tǫnn	tann	dét	(dēt)	dente	dēns		ὀδών	δόντι	atamn			dantan	dánt-	dā̃t
43	tooth	881	ĝom-bh-os	P369	W+E, dfct	зуб								dhëmbi	(γόμφος)				kam;keme		(jámbha-)	-
43	tooth	882	wes-2 ‘eat’; or L <?	Lu?; (P1171)	orphan						[fiacail]											
43	tooth	882	keg- ‘Pflock’	P537;Klo427	orphan													kaga				
23	tree (not log) Lu~)	890	deru- : (dóru- {n} ‘wood, tree)	P214	#NAME?	дерево		tré	tre					dru-ri	δένδρον	δέντρο		taru			druma-	
23	tree	891	medhio- ‘median’, or L <Finmetsä?	P709-7	W		mẽdi-s															
23	tree	892	kʷr̥s-‘woods’?	P633	Branch orphans					crann	crann											
23	tree	893	erHdʰ- ‘hoch, Baum’	P339	Branch orphans							albero	arbor									
23	tree	894	L <Hurro-Urart. with ǵr̥s-o- ‘Geflochtenes, Buschwerk’	ewy <Diakonoff; P392;	Loan												[çaṙ]					
23	tree	895	steh₂-mn ‘Stamm/treetrunk’	P1004-8	Orphan														stām			
23	tree	896	wer-eƙ- ‘Baum, Mast)	P1169 (1154)	Orphan															varəša-	(vr̥kṣá-)	
23	tree	897	L < ?		Orphan																	[peṛ]
23	tree	898	not applicable	na	(meaning)						(bile)											
12	two (num) [uninformative]	900	dwō- <dwéh₃(u)-/duwéh₃	P228	#NAME?	два	dù	tveir	to	dá,dí	dó	due	duo	dy	δύο	δύο	erku	ta	wu	dva	dvā́	do
65	walk (advancing foots alternatively)	910	ei-1 <h1ey- ‘gehen’	LIV232,P293	#NAME?	идти	eĩ-t/mi (vaikščioti)						ire,eō	([eci ])	(εἶμι)			iya	i-/yä-	aēiti,yeinti	ay-	
65	walk	911	ĝhengh- ‘schreiten’	L175,P438	only W		(žengiù)	ganga	gå	(cingim)	(cinn)						(g(ə)n-al)					
65	walk	912	steh₂(m)b(h)/p- ?; cf e ‘step’	Lu:?P1012	Branch orphans					siblaid	siúlaim											
65	walk	913	debated		Orphan							andare										
65	walk	914	L < Lat sequor ‘to follow’	Holm	Orphan					tíagu?		(camminare)		[shkoj]								
65	walk	915	pent- ‘(e Weg) finden’	L471, P808-9	Branch orphans			(fara)							περιπατῶ	πηγαίνω						
65	walk	916	L < ? kʷel- (+ i-infix) ‘to linger around’?	ewy, Mrt no ety; (P639?)	Orphan												[k’ayl-el]					
65	walk	917	kwel(H)-1 ‘t turn’	P639-	Orphan										(ἔβη)				(i-, yä-n-)		(car-)	calnā
65	walk	918	h₂elh₂-8 ‘ambulō’	L264,P27-8	Orphan								(amb-ulō)		(ἀλάομαι)							
65	walk	919a	gwe-m/h₂- ‘gehen’;	L205,P463	Orphan															(gāt̰)	(gam-/ágāt)	
65	walk	919n	vaik-ýti ? ‘jagen’	Frae n ety;(P1128-9)	(‘go on foot’)		(vaikščioti)															
75	water n [cf rain!]	920	wód-r̥ {sing}, auwed-(r)- < h₂wédōr {koll}	P78-9, MBr[F314]	#NAME?	вода	vanduõ	vatn	vann	u(i)sce	uisce		(Umbutur)	ūjë	ὕδωρ		(get)	wādar			udán	
75	water	921	h₂ekweh₂- ‘(running) water’	P23	marked, only W							acqua	aqua	-								
75	water	922	néwo- >νηρόν (ὕδωρ)	P769	orphan											νερό						
75	water	923	gʰwer-< gwĝher-? ‘id.)??	P80c)?; not P487. Mrt-	Loan ?												[ǰur] L?					
